"UID","location","Duration"
10105184,68,-1
10105237,143,0
10105237,280,-1
10105238,143,0
10105238,280,-1
10080275,116,0
10080275,178,-1
10067860,310,0
10067860,449,-1
10068428,238,0
10068428,252,-1
10068458,238,0
10068458,32,-1
10070454,157,0
10070454,287,-1
10070455,157,0
10070455,287,-1
10074588,305,0
10074588,449,-1
10077537,328,0
10077537,99,-1
10079592,115,0
10079592,310,-1
10081514,116,0
10081514,143,-1
10091937,289,0
10091937,287,-1
10092632,289,0
10092632,287,-1
10092633,289,0
10092633,287,-1
10103658,143,0
10103658,313,-1
10068837,238,0
10068837,232,-1
10070167,252,0
10070167,232,-1
10070610,310,0
10070610,289,-1
10072638,252,0
10072638,290,-1
10073269,252,0
10073269,287,-1
10081449,116,0
10081449,287,-1
10101444,337,0
10101444,287,-1
10103929,143,0
10103929,105,-1
10103930,143,0
10103930,105,-1
10103931,143,0
10103931,105,-1
10103932,143,0
10103932,105,-1
10104338,143,0
10104338,238,-1
10116129,287,0
10116129,238,-1
10068525,238,0
10068525,337,-1
10101467,337,0
10101467,289,-1
10102730,106,0
10102730,310,-1
10102731,106,0
10102731,310,-1
10071135,252,0
10071135,117,-1
10071240,252,0
10071240,291,-1
10071241,252,0
10071241,291,-1
10079406,117,0
10079406,180,-1
10079510,115,0
10079510,513,-1
10082092,32,0
10082092,483,-1
10083908,32,0
10083908,449,-1
10089110,241,0
10089110,158,-1
10097280,68,0
10097280,117,-1
10102395,337,0
10102395,287,-1
10102621,106,0
10102621,99,-1
10135720,287,0
10135720,262,-1
10135721,287,0
10135721,262,-1
10135722,287,0
10135722,262,-1
10135723,287,0
10135723,262,-1
10135724,287,0
10135724,262,-1
10135815,287,0
10135815,483,-1
10135816,287,0
10135816,483,-1
10135817,287,0
10135817,483,-1
10075671,297,0
10075671,162,-1
10079374,117,0
10079374,143,-1
10079432,117,0
10079432,287,-1
10080454,116,0
10080454,328,-1
10067691,310,0
10067691,305,-1
10071050,252,0
10071050,32,-1
10072756,252,0
10072756,291,-1
10072757,252,0
10072757,291,-1
10074559,178,0
10074559,531,-1
10079011,314,0
10079011,483,-1
10081919,116,0
10081919,32,-1
10081920,116,0
10081920,32,-1
10083509,32,0
10083509,146,-1
10092004,289,0
10092004,117,-1
10092565,289,0
10092565,105,-1
10093139,289,0
10093139,531,-1
10093324,289,0
10093324,531,-1
10094008,289,0
10094008,287,-1
10094009,289,0
10094009,287,-1
10102222,106,0
10102222,105,-1
10135348,287,0
10135348,105,-1
10067848,310,0
10067848,287,-1
10068572,238,0
10068572,180,-1
10071237,252,0
10071237,287,-1
10071664,252,0
10071664,93,-1
10071665,252,0
10071665,93,-1
10071666,252,0
10071666,93,-1
10071813,252,0
10071813,146,-1
10071836,252,0
10071836,254,-1
10075602,32,0
10075602,290,-1
10075603,32,0
10075603,290,-1
10077465,328,0
10077465,162,-1
10077466,328,0
10077466,162,-1
10077467,328,0
10077467,162,-1
10077627,328,0
10077627,287,-1
10077872,328,0
10077872,232,-1
10077873,328,0
10077873,232,-1
10079897,115,0
10079897,531,-1
10080068,115,0
10080068,178,-1
10080328,116,0
10080328,143,-1
10080529,116,0
10080529,287,-1
10080530,116,0
10080530,287,-1
10081349,116,0
10081349,287,-1
10083858,32,0
10083858,93,-1
10083859,32,0
10083859,93,-1
10083918,32,0
10083918,287,-1
10083919,32,0
10083919,287,-1
10084168,32,0
10084168,116,-1
10088978,241,0
10088978,287,-1
10091993,289,0
10091993,143,-1
10092424,289,0
10092424,287,-1
10092906,289,0
10092906,287,-1
10093098,289,0
10093098,297,-1
10093193,289,0
10093193,66,-1
10101493,106,0
10101493,143,-1
10101972,106,0
10101972,162,-1
10102175,106,0
10102175,513,-1
10102265,337,0
10102265,241,-1
10102266,337,0
10102266,241,-1
10104008,143,0
10104008,66,-1
10104045,143,0
10104045,32,-1
10105540,143,0
10105540,337,-1
10105541,143,0
10105541,337,-1
10105666,143,0
10105666,32,-1
10067866,310,0
10067866,289,-1
10068563,238,0
10068563,180,-1
10068893,238,0
10068893,287,-1
10069239,238,0
10069239,105,-1
10070443,310,0
10070443,99,-1
10071091,252,0
10071091,287,-1
10071774,252,0
10071774,146,-1
10071775,252,0
10071775,146,-1
10071776,252,0
10071776,146,-1
10072094,252,0
10072094,287,-1
10073091,252,0
10073091,531,-1
10073607,158,0
10073607,287,-1
10073608,158,0
10073608,287,-1
10074713,305,0
10074713,280,-1
10077767,328,0
10077767,291,-1
10078550,314,0
10078550,287,-1
10079526,115,0
10079526,66,-1
10079527,115,0
10079527,66,-1
10080778,116,0
10080778,287,-1
10081135,116,0
10081135,287,-1
10082044,32,0
10082044,297,-1
10082728,32,0
10082728,93,-1
10082729,32,0
10082729,93,-1
10082903,32,0
10082903,531,-1
10083751,32,0
10083751,337,-1
10083752,32,0
10083752,337,-1
10083888,32,0
10083888,310,-1
10084136,32,0
10084136,143,-1
10088384,177,0
10088384,32,-1
10089149,241,0
10089149,513,-1
10089150,241,0
10089150,513,-1
10093052,289,0
10093052,252,-1
10093053,289,0
10093053,252,-1
10093054,289,0
10093054,252,-1
10093101,289,0
10093101,158,-1
10093940,289,0
10093940,158,-1
10101887,106,0
10101887,449,-1
10101888,106,0
10101888,449,-1
10102076,106,0
10102076,290,-1
10102077,106,0
10102077,290,-1
10102385,106,0
10102385,232,-1
10102554,337,0
10102554,287,-1
10102578,106,0
10102578,112,-1
10103350,143,0
10103350,287,-1
10104060,143,0
10104060,513,-1
10141601,143,0
10141601,291,-1
10141602,143,0
10141602,291,-1
10141603,143,0
10141603,291,-1
10069189,238,0
10069189,449,-1
10070530,310,0
10070530,287,-1
10070531,310,0
10070531,287,-1
10070532,310,0
10070532,287,-1
10070824,252,0
10070824,290,-1
10072432,252,0
10072432,287,-1
10073659,158,0
10073659,287,-1
10073998,158,0
10073998,241,-1
10074308,158,0
10074308,146,-1
10074543,158,0
10074543,287,-1
10075170,32,0
10075170,143,-1
10075638,32,0
10075638,287,-1
10077676,328,0
10077676,143,-1
10080006,115,0
10080006,291,-1
10080007,115,0
10080007,291,-1
10082593,32,0
10082593,291,-1
10082854,32,0
10082854,287,-1
10082855,32,0
10082855,287,-1
10083365,32,0
10083365,93,-1
10092063,289,0
10092063,287,-1
10092064,289,0
10092064,287,-1
10092173,289,0
10092173,287,-1
10092174,289,0
10092174,287,-1
10092833,289,0
10092833,93,-1
10092834,289,0
10092834,93,-1
10093229,289,0
10093229,252,-1
10093268,289,0
10093268,32,-1
10093502,289,0
10093502,143,-1
10093639,289,0
10093639,287,-1
10094116,289,0
10094116,449,-1
10097423,105,0
10097423,143,-1
10101430,337,0
10101430,32,-1
10102601,106,0
10102601,32,-1
10102857,143,0
10102857,180,-1
10103079,143,0
10103079,162,-1
10103080,143,0
10103080,162,-1
10103579,143,0
10103579,287,-1
10103612,143,0
10103612,449,-1
10103613,143,0
10103613,449,-1
10103971,143,0
10103971,178,-1
10103972,143,0
10103972,178,-1
10103973,143,0
10103973,178,-1
10104460,143,0
10104460,287,-1
10104629,143,0
10104629,353,-1
10104905,143,0
10104905,287,-1
10105085,143,0
10105085,287,-1
10105159,143,0
10105159,513,-1
10127043,143,0
10127043,513,-1
10127044,143,0
10127044,513,-1
10068207,238,0
10068207,180,-1
10070116,252,0
10070116,531,-1
10071812,252,0
10071812,224,-1
10079221,314,0
10079221,457,-1
10079222,314,0
10079222,457,-1
10079598,115,0
10079598,105,-1
10083005,32,0
10083005,143,-1
10088444,177,0
10088444,313,-1
10088977,241,0
10088977,32,-1
10092714,289,0
10092714,531,-1
10092715,289,0
10092715,531,-1
10094053,289,0
10094053,143,-1
10102224,106,0
10102224,257,-1
10103281,143,0
10103281,287,-1
10103405,143,0
10103405,513,-1
10103472,143,0
10103472,513,-1
10104734,143,0
10104734,287,-1
10104899,143,0
10104899,513,-1
10116225,91,0
10116225,456,-1
10116226,91,0
10116226,456,-1
10068569,238,0
10068569,143,-1
10068741,238,0
10068741,117,-1
10070099,252,0
10070099,232,-1
10070177,252,0
10070177,328,-1
10070759,252,0
10070759,105,-1
10075549,314,0
10075549,143,-1
10078088,328,0
10078088,117,-1
10078089,328,0
10078089,117,-1
10078632,314,0
10078632,291,-1
10078891,314,0
10078891,162,-1
10079664,115,0
10079664,112,-1
10079737,115,0
10079737,287,-1
10079738,115,0
10079738,287,-1
10080645,116,0
10080645,531,-1
10080646,116,0
10080646,531,-1
10080975,116,0
10080975,483,-1
10081677,116,0
10081677,483,-1
10082122,32,0
10082122,310,-1
10082159,32,0
10082159,287,-1
10082595,32,0
10082595,162,-1
10082755,32,0
10082755,531,-1
10083420,32,0
10083420,252,-1
10083527,32,0
10083527,105,-1
10083532,32,0
10083532,143,-1
10083533,32,0
10083533,143,-1
10092143,289,0
10092143,32,-1
10092175,289,0
10092175,117,-1
10092506,289,0
10092506,105,-1
10092788,289,0
10092788,287,-1
10094126,289,0
10094126,287,-1
10094127,289,0
10094127,287,-1
10101624,337,0
10101624,449,-1
10101625,337,0
10101625,449,-1
10102790,143,0
10102790,531,-1
10103186,143,0
10103186,531,-1
10103200,143,0
10103200,287,-1
10103201,143,0
10103201,287,-1
10103417,143,0
10103417,287,-1
10103418,143,0
10103418,287,-1
10104217,143,0
10104217,262,-1
10104666,143,0
10104666,158,-1
10104813,143,0
10104813,531,-1
10115989,91,0
10115989,143,-1
10135320,287,0
10135320,105,-1
10135361,287,0
10135361,105,-1
10068141,310,0
10068141,93,-1
10068469,238,0
10068469,287,-1
10068541,238,0
